numinstallation;nominstallation;adresse;codepostal;commune;typequipement;latitude;longitude
I181970018;COMPLEXE GEORGES BARATON;Rue Pierre de Coubertin;18200;Saint-Amand-Montrond;Salle multisports (gymnase);46.71663;2.51157
I181970018;COMPLEXE GEORGES BARATON;Rue Pierre de Coubertin;18200;Saint-Amand-Montrond;Dojo / Salle d'arts martiaux;46.71688;2.51124
I181970019;CAMPING DE LA ROCHE;Rue de la Roche;18200;Saint-Amand-Montrond;Court de tennis;46.71803;2.48916
I181970020;LYCEE PROFESSIONNEL JEAN GUEHENNO;31 Rue des Sables;18200;Saint-Amand-Montrond;Multisports/City-stades;46.73468;2.50668
I181970021;STADE VELODROME ALPHONSE GESSET;Rue Hugues Lapaire;18200;Saint-Amand-Montrond;Terrain de football;46.73537;2.506
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Structure Artificielle d'Escalade;46.7323;2.5131
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Terrain de basket-ball;46.73188;2.51387
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Terrain de basket-ball;46.73188;2.51387
I181970023;GRANGE BORDREUIL;101 Avenue Meillant;18200;Saint-Amand-Montrond;Salle de musculation/cardiotraining;46.73549;2.50489
I181970025;MAISON DES ASSOCIATIONS;5 Allée de la Vigne du Prince;18200;Saint-Amand-Montrond;Salles polyvalentes / des fêtes / non spécialisées;46.72932;2.49547
I181970025;MAISON DES ASSOCIATIONS;5 Allée de la Vigne du Prince;18200;Saint-Amand-Montrond;Pas de tir à la cible;46.72932;2.49547
I181970027;BASIC FIT;74 Rue Ernest Mallard;18200;Saint-Amand-Montrond;Salle de musculation/cardiotraining;;
I182310001;CHEMINS DE RANDONNEE;place de la mairie  Les Vivons;18210;Saint-Pierre-les-Étieux;Boucle de randonnée;46.73928;2.59328
