reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000013;Auvergne-Rhône-Alpes;Pouzin (Le);;"44.755531, 4.750075000000001";Église paroissiale Sainte-Madeleine-du-Pouzin;Ardèche
ACR0000014;Auvergne-Rhône-Alpes;Malarce-sur-la-Thines;113 route départementale;"44.454166, 4.054233";Barrage dit barrage de Malarce ou barrage sur le Chassezac;Ardèche
ACR0000018;Auvergne-Rhône-Alpes;Romans-sur-Isère;avenue du Maquis;"45.047399, 5.07143";cité-jardin dite cité Jules-Nadi;Drôme
ACR0000019;Auvergne-Rhône-Alpes;Romans-sur-Isère;rue Pierre-Didier;"45.045497, 5.047503";Église paroissiale Notre-Dame-de-Lourdes;Drôme
ACR0000021;Auvergne-Rhône-Alpes;Valence;route de Montélimar / 119 route départementale;"44.937709, 4.923343";château d'eau de Valence;Drôme
ACR0000023;Auvergne-Rhône-Alpes;Valence;290 rue Faventines;"44.916711, 4.910045";"immeuble de bureaux, siège social du Crédit Agricole";Drôme
ACR0000024;Auvergne-Rhône-Alpes;Valence;3 place du Palais;"44.931656, 4.892256";"maison consulaire puis chambre de commerce, dit le Palais Consulaire";Drôme
ACR0000027;Auvergne-Rhône-Alpes;Valence;2-6 rue Belle-image / 43 avenue du Président-Herriot;"44.934083, 4.893146";quartier Belle Image;Drôme
ACR0000033;Auvergne-Rhône-Alpes;Annecy;15 rue de la Préfecture;"45.9026581308392, 6.12935574067423";"""Immeuble d'habitation, dit ""La Résidence""""";Haute-Savoie
ACR0000036;Auvergne-Rhône-Alpes;Annecy;113 boulevard du Fier;"45.9234306985791, 6.12331178839824";maison forestière;Haute-Savoie
ACR0000041;Auvergne-Rhône-Alpes;Bonneville;175 rue des Allobroges;"46.0763222589138, 6.409062829035391";immeuble Le Concorde;Haute-Savoie
ACR0000048;Auvergne-Rhône-Alpes;Megève;2264 route du Mont-d’Arbois;;"""maison dite chalet ""Le Grizzly""""";Haute-Savoie
ACR0000057;Auvergne-Rhône-Alpes;Sallanches;quartier de Vouilloux;;cité dite cité de Vouilloux;Haute-Savoie
ACR0000075;Auvergne-Rhône-Alpes;Grenoble;8-10 boulevard Gambetta;"45.189909, 5.721808";"""immeuble ""le Gymnase""""";Isère
ACR0000087;Auvergne-Rhône-Alpes;Sainte-Marie-du-Mont;Lieu-dit Saint-Georges;"45.41852, 5.957206";"centre de loisirs dit Le Balcon de Belledonne, La Baleine";Isère
ACR0000091;Auvergne-Rhône-Alpes;Sassenage;rue de Trefforine;"45.19787500000001, 5.665415";cimetière de la Falaise;Isère
ACR0000093;Auvergne-Rhône-Alpes;Voreppe;387 avenue Stalingrad;"45.294754000000005, 5.633567";"""petit séminaire dit ""Le Sacré-Cœur"", actuellement "" ensemble scolaire catholique Les Portes de Chartreuse """"";Isère
ACR0000094;Auvergne-Rhône-Alpes;Andrézieux-Bouthéon;2 avenue Saint-Étienne;"45.526535520703, 4.25997188484176";station-service Total;Loire
ACR0000099;Auvergne-Rhône-Alpes;Saint-Chamond;chemin des Combettes;;"""maison dite ""villa du Pouay""""";Loire
ACR0000103;Auvergne-Rhône-Alpes;Saint-Étienne;155 rue Antoine-Durafour;"45.42468401140991, 4.39603150098644";maison Aluminium;Loire
ACR0000111;Auvergne-Rhône-Alpes;Clermont-Ferrand;11 rue Marmontel;"45.7686099612221, 3.0826948106222";Église réformée de la Résurrection;Puy-de-Dôme
ACR0000120;Auvergne-Rhône-Alpes;Clermont-Ferrand;rue Maurice-Busset / rue Gilbert-Morel / rue Louis-Renon / rue du Maréchal-Lattre-de-Tassigny;"45.7752407167945, 3.08584651779109";"""Poste centrale dite Saint-Eloy";Puy-de-Dôme
ACR0000121;Auvergne-Rhône-Alpes;Clermont-Ferrand;9 place Michel-de-l'Hospital;"45.7777184864567, 3.08930730809552";immeuble et salle des spectacles Saint-Genès;Puy-de-Dôme
ACR0000122;Auvergne-Rhône-Alpes;Clermont-Ferrand;place de Salford;"45.7797213067498, 3.09218962717764";poste Delille;Puy-de-Dôme
ACR0000135;Auvergne-Rhône-Alpes;Lyon;Lacassagnes (avenue) 162 / Eugénie (cours) / rue Coignet (rue);"45.7449885064153, 4.88973438054995";"immeuble d'infirmières, dit Home des infirmières ou Home Lacassagne";Rhône
ACR0000139;Auvergne-Rhône-Alpes;Lyon;Favorite (rue de la) 44;"45.7574553330334, 4.80911609655997";immeubles de logements dits Les Cèdres;Rhône
ACR0000149;Auvergne-Rhône-Alpes;Lyon;le Château Balmont la Sauvegarde / quartiers le Plateau;"45.7835801634778, 4.79663486098908";"cité dite ""La Duchère"" : Église Notre-Dame de Balmont (actuel cinéma Duchère), Église Notre-Dame-du-Monde-entier, tour panoramique, château d'eau, résidence Les Érables";Rhône
ACR0000150;Auvergne-Rhône-Alpes;Lyon;place de Paris;"45.7787323752378, 4.80426443796032";Église Notre-Dame-de-l'Annonciation;Rhône
ACR0000159;Auvergne-Rhône-Alpes;Villefranche-sur-Saône;boulevard Jean-Jaurès;"45.9879472106634, 4.71477968839892";marché couvert;Rhône
